id,status,description,major,internship,internship_description,why,strengths,hobbies,Is there anything else you'd like the mentees to know?
11,Full-Time Student,I love music.,Finance,Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am friendly and welcoming","Music, Museums, Film Enthusiast",
12,Full-Time Student,"Hello, I am second year student of DSAN program. I completed my undergraduate study at Boston University in 2021. My major in undergraduate study is mathematics focusing on statistic track. My future plan in career path is doing something like quants in Financial area. Besides studying, I love photographing especially the the starry night photos. I also like exploring new restaurants in DMV area. As a mentor, I am really willing to answer you questions as many as I know.","Mathematics, Statistics",Yes,"Intern - Futurewei Technologies, Inc. - Sep 2021 ~ May 2022","I want to make new friends, I want to share my experience and advice with first-year students","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Music, Museums, Photography, Travel, Foodie / Restaurants, Hiking",
13,"Part-Time Student, Full-Time Student",,Business,Yes,"Business analyst , Reingold, summer 2022","I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I have work and/or internship experience, I am friendly and welcoming","Cooking, Sports, Hiking",
14,Full-Time Student,"Hi there! My name is haoxuan weng, or you can call me Will for short. I have been in D.C for 1 year, moved from Chengdu in China. I am still relatively new in U.S, but I definitely have some experience about spicy food, transportation, or any stuff about work&study. I like sports, photography, music, etc. besides studying data science. I think we can surely reach out and have some fun in the weekend. ",marketing,Yes,"research assitant, Mccourt school of public policy of Georgetown university, Jan 2022
management consulting, Deloitte, May 2022 - Jul 2022
data analyst, Hellobike, Dec 2021 - Apr 2022
data scientist, AITAI IT  technology, Sep 2022 - Dec 2022","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Photography, Cooking, Video Games / Gaming, Sports, Fitness, Cycling, Running, Hiking",no
15,Full-Time Student,"Hope everyone is having a great summer! This is like a blind date that I have never been on before, exciting. I graduated from Babson College, studying Business/Analytics with research criteria on DEI and Entrepreneurship Success. At Georgetown, with my cohort's blessing, I would like to consider myself a solid ""average Joe"" student. Currently, I work at BETTER THAN YOUR LOCAL ZARA: EXPRESS, doing customer segmentation, data drift detection, and data pipeline automation work.","Business, Business Administration and Business Analytics",Yes,"Current:
1. Data Scientist, EXPRESS, Aug 2022 - Present
2. Incoming MS Data Science Intern, Nestle, May 2023 - Aug 2023

Past:
1. Data Scientist, Blank Foundation of Entrepreneurship, May 2021 - Aug 2022
2. Decision Science Intern, EXPRESS, May 2022 - Aug 2022
3. Business Transformation Intern, Teleperformance, Feb 2022 - May 2022","I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I have work and/or internship experience, I am friendly and welcoming","Travel, Foodie / Restaurants, Video Games / Gaming, Sports, Yoga","As a mentor, it would be awesome to have a mentee who can take advantage and make most out of my resources, whether it be school, career, or most importantly support. Hope to see you all soon!"
16,BS-MS Accelerated Program,"I'm a Georgetown student enrolled in the accelerated program. I majored in CS and minored in Stats for my undergrad. Aside from the ""resume""-esque info, I like to workout, play guitar, and play video games in my spare time. ","Computer Science, Statistics",Yes,"Software Development Engineer Intern May 2022-Aug 2022, May 2023-Aug 2023 @Amazon
","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I have work and/or internship experience","Music, Cooking, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness",
17,Full-Time Student,"I am an international student at the DSAN program. I have been interested in NLP, social analysis and Hardware validation. I have taken electives such as Reinforcement learning and NLP and developed experience on different Data Science projects before and during this program. I would like to share my experience while being a full time student at our program that is looking to take advantage of every resource we have!","Computer Science, Engineering",Yes,"Software Engineer, Intel Corporation, Jan 2021- August 2022 (work experience)
Research Analyst, CSET, Jan 2023-May 2023 (work experience)","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community, I want to generate a sense of belonging in our community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming, I am familiar with the international processes for studying in the US","Music, Languages, Museums, Photography, Travel, Cooking, Foodie / Restaurants",
18,Full-Time Student,"Hey! Me as a mentor will help you let know the good places to eat at reason being I am a big foodie. Apart from that I like to travel too (provided I have the money to afford it). A football (not the american one) and CODM fanatic, we can have quite a chat if you’re into sports/games.

Oh also, my mantra for the program: STUDY HARD, PARTY HARDER.",Electronics and Communication,No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Music, Photography, Travel, Cooking, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness, Cycling, Running",
19,"Part-Time Student, Full-Time Student",I'm originally from Fayetteville Arkansas and have been living in the DC area for almost four years now. I try to stay active so I'm always down for pretty much any outdoor activity (if the weather is nice). ,Business,No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Foodie / Restaurants, Fitness, Cycling, Running, Hiking, Rock climbing & Soccer",I'd love to get to know y'all over coffee or HH.
20,Full-Time Student,"Hello, Incoming DSAN Students!
As a full-time graduate student and part-time teaching assistant in the DSAN program, I have been enjoying the program so far and would be happy to help you adjust and answer any questions. Prior to pursuing my master's degree, I worked as a systems analyst for two years. In my leisure time, I like to go on walks, draw, and watch movies/TV shows. I am excited to get to know all of you better this upcoming fall.",Engineering,Yes,"Associate Systems Analyst at National Stock Exchange of India (NSEIT LTD), Mumbai,                                     July 2019 - July 2021","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Art / Art History, Film Enthusiast, Cooking, Foodie / Restaurants, Cycling",
21,Full-Time Student,"I am an international student. I took my undergraduate degree in New York State. Right now I am looking for a job. We can make an effort together. In my free time, I like watching films and exploring new things in DC.","Computer Science, Applied Mathematics",No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community",I am friendly and welcoming,"Photography, Film Enthusiast, Travel, Video Games / Gaming",
22,Full-Time Student,"I am a Maryland native and enjoy everything the DMV has to offer! I came to the DSAN program after working in the industry. I worked as a Data Scientist at a large consulting firm in the area for 4 years. I earned my undergraduate degree in Mathematics. Within data science, I am passionate about using technology for public good. Outside of class and my work interests, I enjoy trying new restaurants, watching TV shows, and going on hikes.",Mathematics,Yes,"Data Science Intern, Under Armour, June 2022 - August 2022
Data Science Consultant, Deloitte GPS, July 2018 - July 2022","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Art / Art History, Museums, Travel, Cooking, Foodie / Restaurants, Fitness, Hiking",NA
23,Full-Time Student,"Hi!! I am a full-time second year DSAN student originally from Denver, Colorado. I spent my undergrad as a Math and Economics major in upstate New York. I was involved in undergraduate research where I worked on tracking population trends and density using WiFi data around our campus during the initial height of the COVID-19 pandemic. This is where I first discovered my passion for data science and analytics, so I am very excited to be apart of the DSAN program! I also work part-time on campus at the Graduate Career Center. Outside of school and work, I love to travel, bake, watch movies, find new music, explore DC, and spoil my cat :) I am very excited to meet you all!","Economics, Mathematics",Yes,"Risk Management and Underwriting LDP Intern, May 2021 - July 2021
Financial Planning Intern, May 2020 - July 2020","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Museums, Photography, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Fitness, Running",NA
24,Full-Time Student,"Hey there, it's nice to meet you! I'm from Hong Kong and am passionate about using data to help us understand and tackle social and business problems, which is what brought me to work across different sectors and study Data Science here. I love building community as I believe connecting with others genuinely helps me broaden my perspective and make the most out of life. At Georgetown I'm in GradGov and the DSAN Student Academic & Curriculum Committee. I also enjoy going on runs along the Potomac, listening to EDM and indie music (and jamming with friends!), and cooking plant-based food! ",International Relations,Yes,"Business Development Associate, OmniFoods, Jul 2021 - Jun 2022
Business Analyst Intern, Deliveroo, Sep 2020 - Jan 2021
Research Intern, Mother's Choice, Jul - Aug 2020
Research Assistant, Watson Institute for International and Public Affairs, Jun - Aug 2020
Congressional Intern, U.S. House of Representatives, Jan - May 2020
...","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Art / Art History, Museums, Writing, Photography, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Sports, Fitness, Running, Hiking",I love connecting with people over shared interests and more. If everything I mentioned sounds good to you and you'd like to be a mentee - I can't wait to meet you!
25,Full-Time Student,"Hi!! I was born in raised in Los Angeles, and lived in the Bay Area for the past few years where I worked at an education non-profit as a Data Engineer before coming to the DSAN program. I’m passionate about social justice and education equity, and I love spending my time volunteering (whether technical skills or just general assistance) with local organizations committed to these missions. I'm a pretty high energy person, and I love to take care of plants, do crafty things like wood burn and use my Cricut, and dance! I’m very intentional about building community spaces, which is why I’m also serving on the DSAN Social & Events Committee. I am super excited to share resources, insights about this program, DC activities (which I’m still exploring myself), or anything else that a mentee is interested in! ","Computer Science, Minor in Math & Science Education",Yes,,"I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Photography, Travel, Foodie / Restaurants, Hiking, Dancing, Creative Projects, Volunteering, Bars & Clubs",
26,Full-Time Student,"Hi everyone, can't wait to welcome you in the fall! After being where you are now last year, I can understand how stressful it can be to move to a different city (for some, even a different country) and adjust to a new lifestyle, culture, and academic requirements. I am here to help! I myself come from Prague, Czech Republic, but got my undergraduate degree in Vienna, Austria. I've lived in the United States before, so I can help you navigate different sides of this experience. I love to travel, explore new places, and spend time with my friends. I like to walk around, dance, cook, or watch movies in my free time. As part of the events team for DSAN, I help plan fun activities for you. Besides that, my friends and I like to do all kinds of fun activities, such as playing board games, exploring the Georgetown area, trying new bars and restaurants, or exploring some of the current events (the lights festival was fun!) If you need any help or advice on moving to DC, the program, or the area in general, let me know! ","Business, Economics",No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I enjoy organizing social activities, I am friendly and welcoming","Music, Languages, Art / Art History, Museums, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Sports",
27,Full-Time Student," Hi y'all! I am so excited to take part in this mentorship program! I graduated back in 2021 from William and Mary (Williamsburg VA), where I did focus more on chemistry until I stumbled across data science when exploring my minor options.  When I'm feeling creative, I enjoy crocheting, knitting, and pursuing other hobbies outside of work. I'm also an avid reader and love discussing books. I also am an avid reading and love talking about books. I love exploring DC and doing fun free activities, and wanna help my mentee adjust to this city and program! ",Chemistry,No,,"I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Art / Art History, Museums, Cooking, Foodie / Restaurants",
28,Full-Time Student,"Hello there! I'm thrilled for the new incoming class because I'm having a great time here and can't wait to share it with you all. I did my undergraduation in Bangalore, India in computer Science. I worked as a MERN stack developer for two years and then as an Analyst for a few months before beginning my Master's degree. I enjoy exploring new places, trying out various dessert places in my free time.  I've been to places in DC, so if you need an amateur tour guide, I can be at service ;). As an international student having a mentor was helpful when I first arrived. I intend to do the same for you all. Looking forward to meet you all!!",Computer Science,Yes,"Analyst - Axtria Feb 2022 - Jul 2022
MERN Stack intern - Infosys Jan 2019 - May 2019
Web developer Intern - Quality Theorem May 2019 - Aug 2019","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Museums, Film Enthusiast",
29,Full-Time Student,"Hi!  I look forward to helping you transition to the DSAN program.  My undergraduate degree was in psychology/neuroscience, so I can specifically help anyone who might be transitioning from a different field.  I also worked for a few years before coming back to grad school, and I can speak to some of the challenges of going back to school.  I'm originally from the DC area and am familiar with many of the fun things to do around here.  In my free time, I enjoy going to concerts, reading, and hiking. ",Psychology,Yes,"Research Analyst, Penn State, Mar 2020-present","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Film Enthusiast, Travel, Foodie / Restaurants, Video Games / Gaming, Sports, Hiking",
30,Full-Time Student,"Hi Everyone, I studied Information Systems during undergrad and I'm currently completing my masters in Data Science. Coming from a business background, I can advise you regarding my transition from a business background to a technical degree . If you are interested in general advice regarding your classes, life in DC and how to make the best out of your experience at Georgetown, I am happy to help! ",Business,Yes,,"I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I am friendly and welcoming","Languages, Writing, Travel",
31,Full-Time Student,"Hello! I graduated undergrad at UVA back in May 2022 and studied Statistics with a minor in Data Science. I've really enjoyed the DSAN program here at Georgetown so far and love living in Washington DC. In my free time, I enjoy traveling as much as possible, hanging out and going out with my friends, trying new restaurants/bars in DC, checking out the sports/concert scene, and going on long walks around the monuments. After graduation, I hope to start my career in Data Visualization or Data/Business Analytics. Looking forward to meeting everyone!",Statistics,No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students","I am familiar with life in DC, I enjoy organizing social activities, I am friendly and welcoming","Music, Museums, Travel, Foodie / Restaurants, Sports",
32,Part-Time Student,,"Statistics, Data Science",Yes,,"I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I am friendly and welcoming","Music, Museums, Film Enthusiast, Travel, Cooking, Foodie / Restaurants",
33,Full-Time Student,,"Computer Science, Statistics",Yes,,"I want to expand my professional network, I want to share my experience and advice with first-year students","I am familiar with life in DC, I am strong academically","Reading, Museums, Travel, Foodie / Restaurants, Video Games / Gaming",
34,Full-Time Student,"My name is YIfei Wu, this is my second year in DS program, nice to meet you.","Mathematics, Applied Mathematics, Statistics",Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students","I am familiar with life in DC, I am strong academically, I am friendly and welcoming","Music, Art / Art History, Photography, Film Enthusiast, Travel, Video Games / Gaming, Sports, Cycling",NO
35,Full-Time Student,"Familiar with courses, familiar with food near DC, familiar with after-school entertainment activities. Helpful.",Applied Mathematics,Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Art / Art History, Photography, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Video Games / Gaming, Sports, Hiking, board game and poker",
36,BS-MS Accelerated Program,"Hello! My name is Austin Barish and I am a second-year student in the accelerated program.I am originally from Denver, Colorado. In undergrad at Georgetown, I studied Economics and Philosophy. Outside of school, I enjoying skiing, music and particularly concerts, and sports (mainly football, basketball, and soccer). You can usually find me in coffee shops throughout DC so I am happy to provide recommendations of my favorites!","Economics, Philosophy",Yes,"Technical Engagement Intern, Yext, May 2022-August 2022","I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community, ","I am familiar with life in DC, I am strong academically, I am friendly and welcoming","Music, Art / Art History, Museums, Travel, Cooking, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness",I would love to mentor any accelerated students to help guide them through balancing undergraduate and graduate classes!
37,Full-Time Student,"Hello! My name is Xin Xiang, and I am a second-year student from Changsha, Hunan, China. I am thrilled to apply for the role of a mentor for new students at our university. Throughout my first year, I was able to achieve a 4.0 GPA, demonstrating my dedication to academic success and strong work ethic.
As a mentor, I am committed to helping new students navigate both their academic and personal lives. Drawing from my own experiences, I am eager to share valuable insights and provide guidance on how to excel in their studies while also making the most of their university experience.
Being an international student myself, I understand the unique challenges of adjusting to a new environment and culture. I am enthusiastic about offering my support to fellow students, helping them adapt and thrive in their new surroundings.",Data Science,No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I am friendly and welcoming","Music, Museums, Photography, Travel, Cooking, Fitness","I would like the mentees to know that when I am not yet familiar with someone, I might appear somewhat reserved or distant. However, once I get to know someone better, I become quite talkative and enjoy engaging in conversations. So, please feel free to approach me and communicate openly. I am always eager to listen and exchange ideas, and I look forward to building a strong mentoring relationship with you."
38,Full-Time Student,"Hi, I am a second year student in DSAN program. I am from Shanwei, China and I had my undergraduate in New Jersey.  I'd like to share my experience in Georgetown and the DC area. I like watching TV series & movies, playing video games,  and arranging parties/activities in my spare time.","Computer Science, Statistics",No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I am friendly and welcoming","Reading, Music, Travel, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness, Hiking",
39,Full-Time Student,"Hi, there! I'm a 5-year BS-MS student focused on using data in finance area. I'm from Nanjing, China,  who is passionate about data science, but also enjoys life outside of computers. I am a road-trip enthusiast, basketball&soccer lover and also passionate about various table games like mahjong. As a mentor, when you need help, please feel free to contact me!","Finance, Statistics",Yes,"Data Analyst, CGWS, May 2022-August 2022.","I want to make new friends, I want to expand my professional network","I am familiar with life in DC, I enjoy organizing social activities, I am friendly and welcoming","Music, Film Enthusiast, Travel, Foodie / Restaurants, Sports, Fitness",
40,Full-Time Student,"I've been living in DC for a few years now so i'm really familiar with life in dc. I'm also a huge foodie! I'm always up for trying out new restaurants. So, if you're into food too, we should definitely hit up some restaurants together! I love getting outside and exploring. And I know several hiking trails. The views are incredible, and it's the perfect way to spend a weekend. ","Finance, Statistics",Yes,,"I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Museums, Photography, Travel, Foodie / Restaurants, Video Games / Gaming, Fitness, Hiking",
41,Full-Time Student,"Hello! I’m a rising second year student in the DSAN program where my primary goal is to learn as much as possible about data science with the aim of applying it to the field of education. My experience primarily lies in education - I worked with AmeriCorps Jumpstart while I was an undergraduate here at Georgetown and then taught kindergarten in NYC for a year and a half after graduating.

I know that starting a new graduate program comes with a large learning curve – especially if you come from a non-computer science focused background like me. My goal as your mentor is to not only support you with any questions you may have either about the program or about internships, but also to help you dive into the wonderful community we have here in the DSAN program. I look forward to working with you all this upcoming year! ",Psychology (Minor in Statistics),Yes,"Statistics Intern: Base Operations, August 2022 - December 2022
Data Analyst Intern: AppleTree through Education Pioneers, June 2023 - August 2023","I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Foodie / Restaurants, Video Games / Gaming, Sports, Cycling, Running",
42,Full-Time Student,"Hi everyone:

I'm looking forward to meeting you all this fall! My name is Yuanchen, I have a background in engineering and accounting, and I'm a second year student in the Data Science & Analytics Program. In my free time, I like cooking, hiking, and traveling to various places!",Engineering,No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I enjoy organizing social activities, I am friendly and welcoming","Music, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Hiking",
43,Full-Time Student,"I am a international student from Spain, I have been studying in the United States since my junior year of high school in different locations all over USA, so I have gotten pretty familiar to the American environment. I love going out and exploring the city when I am able to, as well as planning activities to do as a group with friends, through this first year I have been able to learn a lot about the university as well as Washington Dc, so I would love to share it with new students.",Management Information Systems,Yes,"Data Analyst,Caixabank business intelligence, May 2021-August 2021","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming, I have become very familiar with the campus","Music, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Fitness",I also work part time on campus so I could answer questions about the process of applying.
