mentor_id,status,description,major,internship_experience,internship_details,why,strengths,hobbies,anything_else
11,Full-Time Student,"Hey, I enjoy watching sports, working on own projects, cooking, and working out. Also like hanging out with friends and exploring the city!",Neuroscience,Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I am friendly and welcoming","Photography, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness",
12,Full-Time Student,"I am from Ramallah, Palestine and have finished my undergraduate degree in Data Science and Finance at Earlham college. At Georgetown, I mostly enjoy the Machine Learning and Artificial Intelligence aspect of data science. Outside of school, I enjoy trying out new restaurants, traveling, and playing soccer.  ","Finance, Data Science",Yes,"Data Analyst, USAA, May 2025 - Aug 2025","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Museums, Writing, Travel, Video Games / Gaming, Sports, Fitness, Cycling, Running, Hiking",
13,Full-Time Student,"Hi! Welcome to DSAN!! It's my second year in DSAN and I love it so much. I come from China and had my undergraduate in Shanghai, majoring in Data Science (so I've been learning ds for 5 years:)) and I have solid ds related skills and had ds/da/ba internships.I'd love to talk about data science with you.Besides, I love making friends!! We'll have a lot of common topics to talk about :cooking/music/shopping/photography/travelling/hiking/exploring DC etc.
I'm very much looking forward to and excited to start your wonderful DSAN journey with you!",Data Science,Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Art / Art History, Museums, Photography, Travel, Cooking, Foodie / Restaurants, Fitness, Hiking",
14,Full-Time Student,"Hi peeps, I’m an international student from Hong Kong who’s been living in the US for the past 11 years. I’m thrilled to (potentially) be your mentor this coming year and help you navigate the program—whether it’s managing coursework, adjusting to the pace, or just figuring out the social side of grad school! I just graduated from Penn State last August with a degree in Cybersecurity, which sparked my interest in data science and led me to DSAN.

Hobbies & interests: When I’m not knee-deep in code or datasets, you’ll probably find me gaming, biking, touching grass, or exploring DC—museums, hiking trails, and hidden-gem restaurants are my weaknesses.

Why I mentor: I remember how tricky the transition to grad school can be, so I’m here to share tips, lend an ear, and maybe even provide potentially therapeutic life advice.

Excited to meet you all and help make your first year a little smoother.",Cybersecurity,Yes,"This summer I'm interning for an asset management company, doing mostly IT and Cybersecurity related work (like implementing new network security features, installing a new shared drive for the company), but also tons of other miscellaneous intern work like making presentations and writing company financial briefs.","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Museums, Photography, Foodie / Restaurants, Video Games / Gaming, Cycling",
15,Full-Time Student from the DSAN Accelerated Program,"Hi! I'm a second-year accelerated student in the DSAN program. As an undergrad at Georgetown, I studied Science, Tech & Int'l Affairs (STIA) in the SFS with a minor in Computer Science. On campus, I was involved in our analytics/devs clubs, Asian American Student Association, and Club Volleyball team. I'm originally from the Bay Area, CA and enjoy thrifting, making Spotify playlists, and ranking food on Beli (600+ restaurants and counting). My career interests lie within product management — excited to meet you all!","Computer Science, Science, Tech & Int'l Affairs",Yes,"Software Product Manager Intern, Tesla, May 2025-Aug 2025
Products, Tech & Ops Intern, National Basketball Association, May 2024-Aug 2024
Product Management Intern, The Washington Post, Jan 2024-May 2024","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Travel, Foodie / Restaurants, Video Games / Gaming, Sports",
16,Full-Time Student,"I’m an international student with a background in computer science, artificial intelligence, and consulting. I understand the challenges that come with starting graduate school especially in a new country and I’m happy to support you as you navigate this transition. Whether you have questions about coursework, settling into life in DC, or just want to connect, I’m here as a resource and happy to help.","Computer Science, Data Science",Yes,,"I want to make new friends, I want to expand my professional network, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience","Music, Travel, Sports",
17,Full-Time Student,"Hi everyone! I’m originally from Manhattan, and being a student at Georgetown finally gave me a reason to visit Washington, DC—I didn’t realize how beautiful it is. When I first came to Georgetown, I was really nervous about being in a completely new environment. Having someone to answer my questions made a huge difference. A mentor helps make the transition into graduate student life—whether that’s adjusting to DC or exploring career options—much smoother. So in many ways, this is my way of giving back to the program.

In my free time, you’ll usually find me enjoying nature, visiting museums, exploring DC, or hanging out with the amazing friends I’ve made in the DSAN program. I’m super excited to meet my mentees and welcome them to Washington, DC!",Mathematics,No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Museums, Travel, Cooking, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness, Running",n/a
18,Full-Time Student,"Hi! I’m a 23-year-old full-time DSAN student. Before joining the program, I graduated from the University of Virginia with dual degrees in Applied Statistics (concentrating in Biostatistics) and Global Public Health, so I came into DSAN from a less traditional data science background. I'm always happy to share my experience transitioning into the program! I’m originally from northern Virginia, so I’ve grown up in the area—if you ever want local recommendations, I’m always excited to share my favorite spots and hidden gems. This summer, I’ve been interning at a federal agency in D.C., which has been a great experience and I've also had the opportunity to explore more parts of the city. In my free time, you can usually find me doing yoga, crafting, cooking (especially pasta!), going on long walks with music, or browsing the Georgetown Sunday flea market. I'm also an avid traveler. Excited to meet you all this fall! ","Biostatistics, & Global Public Health ",Yes,"AI, Statistics, and Data Management Intern, Federal Reserve Board, May 2025-August 2025","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Music, Languages, Art / Art History, Travel, Cooking, Sports",I speak Spanish and Italian!
19,Full-Time Student,"Hi! I'm a student in the DSAN program with a background in Business Analytics from the University of Rochester. I’ve worked on data science projects spanning deep learning, NLP, machine learning, visualization, and AI agent design both in industry and through coursework.

Beyond academics, I’m passionate about helping others grow their skills and confidence. I’ve served as a TA and workshop leader, and enjoy making technical concepts approachable for all levels.

In my free time, I’m an avid gamer, mostly playing Valorant, Fortnite, and Minecraft. I aim to bring a supportive, approachable, and collaborative style to mentoring.",Business,Yes,"Data & Analytics Summer Associate, PURE Insurance, June 2025 - August 2025

Data Analyst Intern, Office of the Commonwealth's Attorney: Arlington County VA, January 2025 - May 2025

Data Science Intern, PURE Insurance, June 2023 - August 2023

Data Analyst Intern, PURE Insurance, June 2022 - August 2022","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students","I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Foodie / Restaurants, Video Games / Gaming",
20,Full-Time Student,"Hi everyone, I'm a second-year DSAN student and excited to be part of the mentor program! I'm from the Philly area and graduated from Haverford College (small liberal arts school in Pennsylvania) in 2024 where I studied Economics and Applied Math and also played division 3 college lacrosse. I am currently a Data and Analytics Intern at Cencora for the summer. I really like movies, music, biking, pickleball, hiking, and sports in general. I'm happy to offer any advice on the program or career and looking forward to meeting you all!",Economics,Yes,"Data Analyst, Cencora, June 2025-August 2025","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Museums, Film Enthusiast, Sports, Cycling, Running, Hiking",
21,Full-Time Student,"Hi everyone, excited to meet you! I finished my undergrad in International Accounting last year and have since transitioned into the field of Data Science. I'm always down to try something new, whether it's food, activities, or just new experiences in general. If you're also figuring out life in a new country, adjusting to a different culture, or have a similar background and are considering a career switch into tech, I’d be happy to chat and share my experience. It is a pleasure to meet all of you in the upcoming semester and am happy to share any advice or guidance. Looking forward to a great semester together!",Business,Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Photography, Travel, Cooking, Foodie / Restaurants, Sports, Cycling, Running, Hiking",
22,Full-Time Student,"I'm a second year full-time student. I enjoy watching soccer (and most other sports), and casually playing pickleball and tennis. I'm also down to organize activities in the Arlington & DC area for my mentees whether it is street festivals or walks to get our steps in. Looking forward to meeting you!","Business, Finance, Information Techniology",Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Music, Cooking, Sports, Fitness",
23,Full-Time Student,"Hi everyone! I am very happy to be your mentor this year. Welcome to DSAN! By joining in last year’s mentorship, I gained a lot of helpful suggestions from my mentor so I also want to use what I have learned and my personal experience to help you start your journey at DSAN. Apart from academic guidance, I also enjoy making new friends,hiking, exploring new coffee spot and restaurants. I look forward to get to know each of you, learning together, and help you grow personally and professionally!",Information Management and information system,Yes,"Data Analyst, Tesla, May 2025-Aug 2025","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Languages, Museums, Photography, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Video Games / Gaming, Fitness, Hiking",
24,Full-Time Student,"Hi! I’m originally from Colorado and did my undergrad at USC in LA before coming to DC. I’m currently doing research in Dr. Britt's AIMD Lab through the DSAN program, where I’ve gotten to present at conferences and help write papers. I’ve had internships in cybersecurity, business intelligence, and data science in both the public and private sectors. I’ve also been a TA for a few classes. Outside of school, I love exploring DC events like museum parties, reading, baking, going to concerts, and playing board games. I'm always down for a game night or book recs!  I’m excited to support you this year and am happy to chat about anything from classes to DC life.","Applied Mathematics, Data Science",Yes,"Data Scientist, Logsum (Port of LA/LB consulting company), February 2025 - Current
Business Intelligence Intern, Comcast, June 2023 - August 2023
Cybersecurity Data Science Intern, Lawrence Livermore National Laboratory, June 2022 - May 2023","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Music, Museums, Travel, Cooking, Board Games, Escape Rooms","I’m especially happy to help with research, internships, or getting involved with the program, but open to anything you want to talk about."
25,Full-Time Student,"Hello, I'm excited to be your mentor! I grew up in Southern California and got my undergraduate degree in Global Health at UC San Diego. After graduating, I worked as a data analyst in the city planning department for the City of Burlington, Vermont. This summer, I am interning at The Cigna Group as a data scientist where my team and I are building a neural network to predict information about incoming customer support calls. If you are interested in the intersection of healthcare and data, I am happy to share my experiences in both the government and private sectors. In my free time, I enjoy weightlifting, rock climbing, reading, trying out new coffee shops, and exploring areas of DC. Can't wait to meet you!",Global Health,Yes,"Data Science Intern, The Cigna Group, May 2025 - August 2025","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Travel, Cooking, Foodie / Restaurants, Sports, Fitness, Running, Hiking",
26,Full-Time Student,"I’m an easygoing and approachable person who enjoys cooking, especially Chinese and Korean food. I love baking desserts and often try out pretty cake recipes I find online. I also enjoy hiking and spending time in places with beautiful natural scenery like forests and lakes. I’m happy to connect, share life experiences, and support you however I can!",Statistics,Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I enjoy organizing social activities, I am friendly and welcoming","Reading, Languages, Travel, Cooking, Video Games / Gaming, Hiking",
27,Full-Time Student,"Hi! I’m currently pursuing a graduate degree in Data Science after pivoting from a career in business consulting. I studied chemical engineering as an undergrad and spent three years working in the health insurance industry. Originally from Long Island, I’ve been living in DC for the past few years and love sharing tips about the city—whether it's cool neighborhoods to explore, great restaurants and bars, or just fun ways to spend a weekend. In my free time, I enjoy traveling, reading, checking out new places around town, and the occasional video game. I’m excited to be a mentor and happy to support you academically, professionally, or just help you feel more at home in DC.",Engineering,No,,"I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I am friendly and welcoming","Reading, Music, Travel, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness",
28,Full-Time Student from the DSAN Accelerated Program,"Hi! I'm a second-year DSAN student and I'm from Westchester County, NY. I studied linguistics for my undergraduate degree, which I completed here at Georgetown, and I entered the DSAN program in my senior year as an Accelerated student. I love eating and cooking food, language learning, playing the piano, listening to music, shopping, and being active. I really enjoyed my first year in DSAN so as a mentor, I'd be happy to talk about navigating academic and social life within the program (particularly the accelerated student experience!), share my takes on general DC and Georgetown life (as I'm now approaching my fifth year as a student here), share my summer internship experience, or just be a friend!",Linguistics,Yes,"Data Analytics Intern, Tishman Speyer, June 2025-August 2025","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Languages, Art / Art History, Travel, Cooking, Foodie / Restaurants, Sports, Fitness",
29,Full-Time Student,"I’m from Shenzhen, China. I studied Economics and Data Science during undergrad at the University of Rochester. I'm really interested in using data to solve real-world problems. Outside of school, I love skiing, hiking, traveling, and photography. Looking forward to getting to know you all.","Economics, Data Science",No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Museums, Photography, Film Enthusiast, Travel, Foodie / Restaurants, Hiking",
30,Full-Time Student,"Hey I’m an incoming 2nd year DSAN student! I’m originally from Long Island, NY and lived in nyc for 3 years before moving to DC last August. My undergrad was in financial economics at Binghamton. I worked as a data analyst at a marketing company and then decided to go back to school full time to learn more of the technical coding/math side of data science. This summer I’m back in nyc working as a data science intern. In my free time in DC I love to walk around my neighborhood (Dupont circle) and explore the surrounding neighborhoods and try new restaurants /coffee shops. I also love hanging out with friends, doing crafty things, exploring the dc nightlife, and going to concerts (I’m down for anything besides country). I’ve only visited a handful of the dc museums but definitely need to check off more before I graduate. Looking forward to meeting everyone in August!!",Economics,Yes,"Data Science Intern, Munich Re, Summer 2025","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Museums, Photography, Travel, Foodie / Restaurants, Fitness",
